,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
0,28216,1.5,558000,3.0, Single Family,0
1,28205,1.0,500000,2.0, Single Family,0
2,28214,1.0,165000,3.0, Single Family,0
3,28278,1.5,890000,3.0, Single Family,0
4,28078,2.0,480000,4.0, Single Family,0
5,28205,1.0,162000,2.0, Single Family,0
6,28215,2.0,160000,3.0, Single Family,0
7,28203,1.0,195000,1.0, Condominium,4
8,28203,1.0,203000,1.0, Condominium,4
9,28203,1.0,345000,2.0, Condominium,4
10,28203,1.0,210000,1.0, Condominium,4
11,28202,1.0,335000,1.0, Condominium,1
12,28205,1.0,270000,2.0, Condominium,4
13,28036,2.0,386000,3.0, Townhouse,4
14,28226,1.5,182500,3.0, Single Family,0
15,28212,2.0,203000,3.0, Townhouse,4
16,28217,2.0,202000,2.0, Townhouse,4
17,28031,1.0,274000,2.0, Condominium,4
18,28211,2.0,595000,4.0, Single Family,2
19,28031,1.0,184000,3.0, Condominium,4
20,28262,2.0,235000,4.0, Single Family,0
21,28214,2.0,181500,4.0, Single Family,0
22,28215,1.0,255000,3.0, Single Family,0
23,28262,2.0,125000,3.0, Townhouse,4
24,28202,2.0,300000,2.0, Condominium,1
25,28207,1.0,200000,2.0, Condominium,4
26,28105,2.0,285000,3.0, Single Family,0
27,28205,1.0,630000,2.0, Single Family,0
28,28205,2.0,190000,2.0, Townhouse,4
29,28205,2.0,260000,3.0, Single Family,0
30,28205,2.0,192000,2.0, Townhouse,4
31,28205,1.5,231000,3.0, Townhouse,4
32,28031,2.0,228000,2.0, Townhouse,4
33,28226,2.0,575000,4.0, Single Family,0
34,28208,2.0,202500,3.0, Single Family,0
35,28208,2.5,211500,3.0, Single Family,0
36,28262,2.0,291000,4.0, Single Family,0
37,28277,2.0,555000,3.0, Single Family,0
38,28277,2.0,584000,5.0, Single Family,0
39,28277,2.0,402000,4.0, Single Family,0
40,28277,2.0,425000,4.0, Single Family,0
41,28277,2.0,236000,3.0, Townhouse,4
42,28277,2.0,470000,4.0, Single Family,0
43,28227,1.0,338000,3.0, Single Family,3
44,28209,2.0,695000,3.0, Single Family,0
45,28105,2.0,380000,5.0, Single Family,0
46,28277,2.0,350000,3.0, Single Family,0
47,28277,1.0,313000,2.0, Single Family,0
48,28273,2.5,251500,2.0, Townhouse,4
49,28269,1.0,243000,4.0, Single Family,0
50,28227,1.0,336000,3.0, Single Family,3
51,28277,2.0,475000,4.0, Single Family,0
52,28277,2.0,285000,3.0, Townhouse,4
53,28277,2.0,665000,4.0, Single Family,0
54,28277,2.0,829000,4.0, Single Family,0
55,28277,2.0,1200000,5.0, Single Family,0
56,28277,2.0,362500,3.0, Townhouse,4
57,28277,2.5,417000,3.0, Townhouse,4
58,28277,2.0,281000,3.0, Single Family,0
59,28277,2.0,485500,5.0, Single Family,0
60,28211,2.0,875000,4.0, Single Family,2
61,28078,2.0,385000,4.0, Single Family,0
62,28216,2.0,190000,3.0, Single Family,0
63,28216,2.0,197000,3.0, Single Family,0
64,28226,2.0,377000,3.0, Single Family,0
65,28216,1.0,185000,3.0, Single Family,0
66,28227,1.0,180000,3.0, Single Family,3
67,28205,1.0,217500,3.0, Single Family,0
68,28273,2.0,140000,2.0, Townhouse,4
69,28273,2.0,160000,2.0, Townhouse,4
70,28227,2.0,132000,3.0, Townhouse,3
71,28227,2.0,131000,3.0, Townhouse,3
72,28278,2.0,250000,3.0, Townhouse,4
73,28278,2.0,294000,4.0, Single Family,0
74,28278,2.0,325000,3.0, Single Family,0
75,28278,2.0,282000,3.0, Single Family,0
76,28278,2.0,300000,5.0, Single Family,0
