,Submarket,Housing_Type,Cluster
0,Mecklenburg County 24 (NC), Single Family,3
1,Mecklenburg County 3 (NC), Single Family,3
2,Mecklenburg County 29 (NC), Single Family,1
3,Mecklenburg County 36 (NC), Single Family,3
4,Huntersville, Single Family,2
5,Mecklenburg County 4 (NC), Single Family,3
6,Mecklenburg County 10 (NC), Single Family,3
7,Mecklenburg County 23 (NC), Condominium,4
8,Mecklenburg County 23 (NC), Condominium,4
9,Mecklenburg County 23 (NC), Condominium,4
10,Mecklenburg County 23 (NC), Condominium,4
11,Mecklenburg County 1 (NC), Condominium,4
12,Mecklenburg County 3 (NC), Condominium,4
13,Davidson, Townhouse,1
14,Mecklenburg County 15 (NC), Single Family,3
15,Mecklenburg County 6 (NC), Townhouse,1
16,Mecklenburg County 36 (NC), Townhouse,1
17,Cornelius, Condominium,4
18,Mecklenburg County 14 (NC), Single Family,3
19,Cornelius, Condominium,4
20,Mecklenburg County 9 (NC), Single Family,3
21,Mecklenburg County 27 (NC), Single Family,3
22,Mecklenburg County 11 (NC), Single Family,3
23,Mecklenburg County 9 (NC), Townhouse,1
24,Mecklenburg County 2 (NC), Condominium,4
25,Mecklenburg County 16 (NC), Condominium,4
26,Matthews, Single Family,3
27,Mecklenburg County 12 (NC), Single Family,3
28,Mecklenburg County 12 (NC), Townhouse,1
29,Mecklenburg County 12 (NC), Single Family,3
30,Mecklenburg County 12 (NC), Townhouse,1
31,Mecklenburg County 12 (NC), Townhouse,1
32,Huntersville, Townhouse,2
33,Mecklenburg County 14 (NC), Single Family,3
34,Mecklenburg County 25 (NC), Single Family,3
35,Mecklenburg County 25 (NC), Single Family,3
36,Mecklenburg County 28 (NC), Single Family,3
37,Mecklenburg County 34 (NC), Single Family,3
38,Mecklenburg County 34 (NC), Single Family,3
39,Mecklenburg County 34 (NC), Single Family,3
40,Mecklenburg County 34 (NC), Single Family,3
41,Mecklenburg County 19 (NC), Townhouse,1
42,Mecklenburg County 34 (NC), Single Family,3
43,Mint Hill, Single Family,3
44,Mecklenburg County 23 (NC), Single Family,3
45,Matthews, Single Family,3
46,Mecklenburg County 34 (NC), Single Family,3
47,Mecklenburg County 34 (NC), Single Family,3
48,Mecklenburg County 36 (NC), Townhouse,1
49,Mecklenburg County 28 (NC), Single Family,3
50,Mint Hill, Single Family,3
51,Mecklenburg County 34 (NC), Single Family,3
52,Mecklenburg County 19 (NC), Townhouse,1
53,Mecklenburg County 34 (NC), Single Family,3
54,Mecklenburg County 34 (NC), Single Family,3
55,Mecklenburg County 34 (NC), Single Family,3
56,Mecklenburg County 19 (NC), Townhouse,1
57,Mecklenburg County 19 (NC), Townhouse,1
58,Mecklenburg County 19 (NC), Single Family,3
59,Mecklenburg County 34 (NC), Single Family,3
60,Mecklenburg County 14 (NC), Single Family,3
61,Huntersville, Single Family,2
62,Mecklenburg County 29 (NC), Single Family,1
63,Mecklenburg County 29 (NC), Single Family,1
64,Mecklenburg County 15 (NC), Single Family,3
65,Mecklenburg County 29 (NC), Single Family,1
66,Mecklenburg County 7 (NC), Single Family,3
67,Mecklenburg County 6 (NC), Single Family,3
68,Mecklenburg County 36 (NC), Townhouse,1
69,Mecklenburg County 36 (NC), Townhouse,1
70,Mecklenburg County 7 (NC), Townhouse,1
71,Mecklenburg County 7 (NC), Townhouse,1
72,Mecklenburg County 36 (NC), Townhouse,1
73,Mecklenburg County 36 (NC), Single Family,3
74,Mecklenburg County 36 (NC), Single Family,3
75,Mecklenburg County 36 (NC), Single Family,3
76,Mecklenburg County 36 (NC), Single Family,3
77,Mecklenburg County 36 (NC), Single Family,3
78,Mecklenburg County 36 (NC), Single Family,3
79,Mecklenburg County 36 (NC), Single Family,3
80,Mecklenburg County 36 (NC), Single Family,3
81,Mecklenburg County 36 (NC), Single Family,3
82,Mecklenburg County 36 (NC), Townhouse,1
83,Mecklenburg County 36 (NC), Townhouse,1
84,Mecklenburg County 34 (NC), Single Family,3
85,Mecklenburg County 9 (NC), Townhouse,1
86,Mecklenburg County 15 (NC), Townhouse,1
87,Mecklenburg County 17 (NC), Single Family,3
88,Mecklenburg County 17 (NC), Single Family,3
89,Mecklenburg County 17 (NC), Single Family,3
90,Mecklenburg County 17 (NC), Single Family,3
91,Mecklenburg County 17 (NC), Single Family,3
92,Mecklenburg County 26 (NC), Single Family,3
93,Huntersville, Single Family,2
94,Huntersville, Single Family,2
95,Mecklenburg County 12 (NC), Condominium,4
96,Mecklenburg County 12 (NC), Condominium,4
97,Huntersville, Single Family,2
98,Huntersville, Single Family,2
99,Huntersville, Single Family,2
100,Huntersville, Single Family,2
101,Huntersville, Single Family,2
102,Huntersville, Single Family,2
103,Huntersville, Single Family,2
104,Mecklenburg County 18 (NC), Single Family,3
105,Mecklenburg County 6 (NC), Single Family,3
106,Mint Hill, Single Family,3
107,Mecklenburg County 34 (NC), Townhouse,1
108,Mecklenburg County 34 (NC), Townhouse,1
109,Mecklenburg County 34 (NC), Townhouse,1
110,Cornelius, Single Family,4
111,Mecklenburg County 19 (NC), Townhouse,1
112,Cornelius, Single Family,4
113,Mecklenburg County 7 (NC), Single Family,3
114,Mecklenburg County 7 (NC), Single Family,3
115,Mecklenburg County 7 (NC), Single Family,3
116,Davidson, Single Family,3
117,Mecklenburg County 20 (NC), Single Family,3
118,Mecklenburg County 20 (NC), Single Family,3
119,Mecklenburg County 14 (NC), Single Family,3
120,Mecklenburg County 7 (NC), Condominium,4
121,Mecklenburg County 7 (NC), Condominium,4
122,Mecklenburg County 7 (NC), Single Family,3
123,Mecklenburg County 34 (NC), Single Family,3
124,Mecklenburg County 16 (NC), Single Family,3
125,Mecklenburg County 19 (NC), Single Family,3
126,Mecklenburg County 19 (NC), Single Family,3
127,Mecklenburg County 28 (NC), Single Family,3
128,Mecklenburg County 30 (NC), Single Family,3
129,Mecklenburg County 30 (NC), Single Family,3
130,Matthews, Single Family,3
131,Mecklenburg County 23 (NC), Single Family,3
132,Mecklenburg County 23 (NC), Single Family,3
133,Mecklenburg County 29 (NC), Single Family,1
134,Mecklenburg County 14 (NC), Single Family,3
135,Mecklenburg County 28 (NC), Single Family,3
136,Mecklenburg County 7 (NC), Single Family,3
137,Mecklenburg County 7 (NC), Single Family,3
138,Mecklenburg County 6 (NC), Single Family,3
139,Mecklenburg County 15 (NC), Townhouse,1
140,Mecklenburg County 29 (NC), Single Family,1
141,Mecklenburg County 12 (NC), Single Family,3
142,Davidson, Single Family,3
143,Mecklenburg County 34 (NC), Single Family,3
144,Mecklenburg County 9 (NC), Single Family,3
145,Huntersville, Single Family,2
146,Huntersville, Single Family,2
147,Huntersville, Single Family,2
148,Mecklenburg County 6 (NC), Single Family,3
149,Mecklenburg County 36 (NC), Townhouse,1
150,Mecklenburg County 36 (NC), Townhouse,1
151,Mecklenburg County 36 (NC), Townhouse,1
152,Mecklenburg County 36 (NC), Townhouse,1
153,Mecklenburg County 36 (NC), Townhouse,1
154,Mecklenburg County 36 (NC), Townhouse,1
155,Huntersville, Single Family,2
156,Huntersville, Single Family,2
157,Mecklenburg County 28 (NC), Single Family,3
158,Mecklenburg County 34 (NC), Single Family,3
159,Mecklenburg County 20 (NC), Single Family,3
160,Mecklenburg County 20 (NC), Single Family,3
161,Mecklenburg County 20 (NC), Single Family,3
162,Mecklenburg County 11 (NC), Single Family,3
163,Mecklenburg County 15 (NC), Single Family,3
164,Mecklenburg County 27 (NC), Single Family,3
165,Mecklenburg County 27 (NC), Single Family,3
166,Mecklenburg County 19 (NC), Single Family,3
167,Mecklenburg County 19 (NC), Single Family,3
168,Mecklenburg County 19 (NC), Condominium,4
169,Mecklenburg County 19 (NC), Condominium,4
170,Mecklenburg County 18 (NC), Single Family,3
171,Mecklenburg County 19 (NC), Townhouse,1
172,Mecklenburg County 19 (NC), Townhouse,1
173,Mecklenburg County 19 (NC), Townhouse,1
174,Pineville, Townhouse,1
175,Mecklenburg County 22 (NC), Condominium,4
176,Huntersville, Single Family,2
177,Huntersville, Single Family,2
178,Mecklenburg County 29 (NC), Single Family,1
179,Mecklenburg County 15 (NC), Single Family,3
180,Mecklenburg County 15 (NC), Single Family,3
181,Huntersville, Single Family,2
182,Cornelius, Single Family,4
183,Cornelius, Single Family,4
184,Mecklenburg County 29 (NC), Single Family,1
185,Mecklenburg County 29 (NC), Single Family,1
186,Mecklenburg County 7 (NC), Single Family,3
187,Mecklenburg County 23 (NC), Single Family,3
