,Site_Zip,Housing_Type,Cluster
0,28216, Single Family,0
1,28205, Single Family,2
2,28214, Single Family,2
3,28278, Single Family,2
4,28078, Single Family,2
5,28205, Single Family,2
6,28215, Single Family,2
7,28203, Condominium,3
8,28203, Condominium,3
9,28203, Condominium,3
10,28203, Condominium,3
11,28202, Condominium,3
12,28205, Condominium,3
13,28036, Townhouse,0
14,28226, Single Family,2
15,28212, Townhouse,0
16,28217, Townhouse,0
17,28031, Condominium,1
18,28211, Single Family,4
19,28031, Condominium,1
20,28262, Single Family,2
21,28214, Single Family,2
22,28215, Single Family,2
23,28262, Townhouse,0
24,28202, Condominium,3
25,28207, Condominium,3
26,28105, Single Family,2
27,28205, Single Family,2
28,28205, Townhouse,0
29,28205, Single Family,2
30,28205, Townhouse,0
31,28205, Townhouse,0
32,28031, Townhouse,1
33,28226, Single Family,2
34,28208, Single Family,2
35,28208, Single Family,2
36,28262, Single Family,2
37,28277, Single Family,2
38,28277, Single Family,2
39,28277, Single Family,2
40,28277, Single Family,2
41,28277, Townhouse,0
42,28277, Single Family,2
43,28227, Single Family,2
44,28209, Single Family,2
45,28105, Single Family,2
46,28277, Single Family,2
47,28277, Single Family,2
48,28273, Townhouse,0
49,28269, Single Family,2
50,28227, Single Family,2
51,28277, Single Family,2
52,28277, Townhouse,0
53,28277, Single Family,2
54,28277, Single Family,2
55,28277, Single Family,2
56,28277, Townhouse,0
57,28277, Townhouse,0
58,28277, Single Family,2
59,28277, Single Family,2
60,28211, Single Family,4
61,28078, Single Family,2
62,28216, Single Family,0
63,28216, Single Family,0
64,28226, Single Family,2
65,28216, Single Family,0
66,28227, Single Family,2
67,28205, Single Family,2
68,28273, Townhouse,0
69,28273, Townhouse,0
70,28227, Townhouse,0
71,28227, Townhouse,0
72,28278, Townhouse,0
73,28278, Single Family,2
74,28278, Single Family,2
75,28278, Single Family,2
76,28278, Single Family,2
77,28278, Single Family,2
78,28278, Single Family,2
79,28278, Single Family,2
80,28278, Single Family,2
81,28278, Single Family,2
82,28278, Townhouse,0
83,28278, Townhouse,0
84,28277, Single Family,2
85,28213, Townhouse,0
86,28270, Townhouse,0
87,28210, Single Family,3
88,28210, Single Family,3
89,28210, Single Family,3
90,28210, Single Family,3
91,28210, Single Family,3
92,28216, Single Family,0
93,28078, Single Family,2
94,28078, Single Family,2
95,28205, Condominium,3
96,28205, Condominium,3
97,28078, Single Family,2
98,28078, Single Family,2
99,28078, Single Family,2
100,28078, Single Family,2
101,28078, Single Family,2
102,28078, Single Family,2
103,28078, Single Family,2
104,28270, Single Family,2
105,28205, Single Family,2
106,28107, Single Family,2
107,28277, Townhouse,0
108,28277, Townhouse,0
109,28277, Townhouse,0
110,28031, Single Family,1
111,28277, Townhouse,0
112,28031, Single Family,1
113,28215, Single Family,2
114,28215, Single Family,2
115,28215, Single Family,2
116,28036, Single Family,2
117,28210, Single Family,3
118,28210, Single Family,3
119,28211, Single Family,4
120,28227, Condominium,3
121,28227, Condominium,3
122,28215, Single Family,2
123,28270, Single Family,2
124,28207, Single Family,2
125,28277, Single Family,2
126,28277, Single Family,2
127,28269, Single Family,2
128,28262, Single Family,2
129,28262, Single Family,2
130,28105, Single Family,2
131,28209, Single Family,2
132,28209, Single Family,2
133,28214, Single Family,2
134,28211, Single Family,4
135,28269, Single Family,2
136,28215, Single Family,2
137,28215, Single Family,2
138,28205, Single Family,2
139,28226, Townhouse,0
140,28214, Single Family,2
141,28205, Single Family,2
142,28036, Single Family,2
143,28277, Single Family,2
144,28213, Single Family,2
