Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
1,3,2, Other,28215,32
2,5,5, Single Family,28269,12
1,3,3, Single Family,28216,11
1,3,1, Single Family,28216,72
1,2,1, Single Family,28216,61
1,2,1, Single Family,28205,74
2,3,2, Single Family,28036,76
1,2,1, Single Family,28262,71
1,3,1, Single Family,28217,56
1,3,2, Single Family,28214,62
1,3,2, Single Family,28262,76
1,3,3, Single Family,28278,17
1,3,2, Other,28216,24
1,3,2, Single Family,28211,40
2,4,3, Single Family,28078,30
1,2,1, Single Family,28205,98
2,3,2, Single Family,28215,49
1,1,1, Condominium,28203,15
1,2,2, Condominium,28203,15
1,1,1, Condominium,28203,15
1,2,2, Condominium,28203,15
1,1,1, Condominium,28203,15
1,1,1, Condominium,28202,50
1,3,2, Condominium,28209,16
1,2,2, Condominium,28205,12
2,3,2, Townhouse,28036,17
1,3,2, Single Family,28226,36
2,3,2, Townhouse,28212,16
2,5,3, Single Family,28208,15
1,3,1, Single Family,28214,64
1,3,1, Single Family,28214,64
2,2,2, Townhouse,28217,15
1,2,2, Condominium,28031,22
2,4,2, Single Family,28211,32
1,3,2, Condominium,28031,14
2,4,2, Single Family,28262,33
2,4,2, Single Family,28214,9
1,3,2, Single Family,28215,39
2,3,2, Townhouse,28262,31
2,2,2, Condominium,28202,20
1,3,1, Single Family,28208,66
1,2,1, Condominium,28207,83
2,3,2, Single Family,28269,22
1,3,2, Single Family,28216,48
1,3,1, Single Family,28205,64
1,3,2, Single Family,28212,37
2,3,2, Single Family,28105,32
1,2,1, Single Family,28205,69
2,2,2, Townhouse,28205,22
2,3,2, Single Family,28205,20
2,2,2, Townhouse,28205,22
1,3,2, Townhouse,28205,22
2,4,2, Single Family,28031,7
2,2,2, Townhouse,28031,11
2,2,2, Townhouse,28031,6
2,3,2, Townhouse,28031,10
2,3,2, Single Family,28269,20
2,3,2, Single Family,28269,21
2,3,2, Single Family,28078,14
2,4,3, Single Family,28226,38
2,3,2, Single Family,28208,14
2,3,2, Single Family,28208,13
2,3,2, Single Family,28208,14
2,4,2, Single Family,28262,17
2,4,2, Single Family,28262,16
2,3,2, Single Family,28078,5
2,3,2, Single Family,28277,17
2,5,3, Single Family,28277,11
2,4,3, Single Family,28277,10
2,4,3, Single Family,28277,11
2,4,3, Single Family,28277,12
2,3,2, Townhouse,28277,10
2,3,2, Townhouse,28277,21
2,4,3, Single Family,28277,10
1,2,2, Condominium,28203,18
1,3,2, Single Family,28227,47
1,3,2, Single Family,28227,41
1,3,2, Single Family,28209,62
2,3,3, Single Family,28209,9
1,3,2, Single Family,28227,30
2,4,2, Single Family,28105,33
2,5,2, Single Family,28105,29
2,3,2, Single Family,28208,19
2,3,3, Single Family,28277,16
1,2,2, Single Family,28277,16
2,2,3, Townhouse,28273,12
2,3,2, Single Family,28216,6
2,3,2, Townhouse,28105,21
1,4,2, Single Family,28269,33
2,3,2, Single Family,28213,19
1,2,1, Single Family,28208,68
2,5,3, Single Family,28031,36
2,4,3, Single Family,28036,8
1,3,2, Single Family,28036,4
1,3,2, Single Family,28031,5
1,3,2, Single Family,28031,5
1,3,2, Single Family,28227,29
2,4,2, Single Family,28277,11
2,3,2, Townhouse,28277,21
2,4,3, Single Family,28277,23
2,4,4, Single Family,28277,18
2,5,5, Single Family,28277,19
2,3,2, Townhouse,28277,19
2,3,2, Townhouse,28277,17
2,3,2, Single Family,28277,23
1,2,2, Townhouse,28277,15
1,3,2, Townhouse,28277,16
1,3,2, Townhouse,28277,15
1,4,2, Single Family,28210,36
2,5,3, Single Family,28277,17
2,4,3, Single Family,28211,36
2,4,3, Single Family,28078,23
2,3,2, Single Family,28216,19
2,3,2, Single Family,28216,20
2,3,2, Single Family,28216,20
2,3,3, Single Family,28226,43
1,3,1, Single Family,28216,55
1,3,1, Single Family,28216,55
1,3,2, Single Family,28078,8
1,3,2, Single Family,28227,31
1,4,1, Single Family,28208,67
2,3,2, Single Family,28208,15
1,2,2, Townhouse,28105,18
1,3,2, Condominium,28277,17
1,3,2, Condominium,28277,15
1,3,2, Condominium,28277,17
1,4,4, Single Family,28078,5
2,4,3, Single Family,28226,11
2,3,2, Single Family,28269,13
1,3,2, Single Family,28214,17
2,4,2, Single Family,28214,15
1,3,2, Single Family,28214,16
1,3,1, Single Family,28205,29
1,3,2, Single Family,28205,49
2,2,1, Townhouse,28273,21
2,2,2, Townhouse,28273,21
2,3,2, Townhouse,28227,14
2,3,2, Townhouse,28227,15
2,3,2, Single Family,28270,33
2,3,2, Townhouse,28278,11
2,3,2, Townhouse,28278,10
2,4,2, Single Family,28273,8
2,4,2, Single Family,28273,6
