,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
0,1.5,3.0,3.5, Single Family,0
1,1.0,2.0,1.0, Single Family,1
2,1.0,3.0,2.5, Single Family,1
3,1.5,3.0,3.0, Single Family,0
4,2.0,4.0,3.0, Single Family,0
5,1.0,2.0,1.0, Single Family,1
6,2.0,3.0,2.5, Single Family,0
7,1.0,1.0,1.0, Condominium,3
8,1.0,1.0,1.0, Condominium,3
9,1.0,2.0,2.0, Condominium,3
10,1.0,1.0,1.0, Condominium,3
11,1.0,1.0,1.0, Condominium,3
12,1.0,2.0,2.0, Condominium,3
13,2.0,3.0,2.5, Townhouse,2
14,1.5,3.0,2.5, Single Family,1
15,2.0,3.0,2.5, Townhouse,2
16,2.0,2.0,2.5, Townhouse,2
17,1.0,2.0,2.0, Condominium,3
18,2.0,4.0,2.5, Single Family,0
19,1.0,3.0,2.0, Condominium,3
20,2.0,4.0,2.5, Single Family,0
21,2.0,4.0,2.5, Single Family,0
22,1.0,3.0,2.0, Single Family,1
23,2.0,3.0,2.0, Townhouse,2
24,2.0,2.0,2.5, Condominium,3
25,1.0,2.0,1.0, Condominium,3
26,2.0,3.0,2.5, Single Family,0
27,1.0,2.0,1.0, Single Family,1
28,2.0,2.0,2.5, Townhouse,2
29,2.0,3.0,2.5, Single Family,0
30,2.0,2.0,2.5, Townhouse,2
31,1.5,3.0,2.0, Townhouse,2
32,2.0,2.0,2.5, Townhouse,2
33,2.0,4.0,3.0, Single Family,0
34,2.0,3.0,2.0, Single Family,0
35,2.5,3.0,2.5, Single Family,0
36,2.0,4.0,2.5, Single Family,0
37,2.0,3.0,2.5, Single Family,0
38,2.0,5.0,3.5, Single Family,0
39,2.0,4.0,3.5, Single Family,0
40,2.0,4.0,3.5, Single Family,0
41,2.0,3.0,2.5, Townhouse,2
42,2.0,4.0,3.0, Single Family,0
43,1.0,3.0,2.5, Single Family,1
44,2.0,3.0,3.0, Single Family,0
45,2.0,5.0,2.5, Single Family,0
46,2.0,3.0,3.0, Single Family,0
47,1.0,2.0,2.0, Single Family,1
48,2.5,2.0,3.5, Townhouse,2
49,1.0,4.0,2.0, Single Family,1
50,1.0,3.0,2.0, Single Family,1
